index,n,name,place_id,,
14499,"鱔魚,　醋酸,　味道,　鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20696,"鱔魚,　蝦仁,　腰果,　賀甲,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
196,"鱔魚,　價格,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20693,"鱔魚,　價位,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
221,"鱔魚,　腰花,　口味,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
225,"鱔魚,　腥味,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
24697,"鱔魚,　意麵,　鱔魚,　麵,　洋蔥,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20680,"鱔魚,　意麵,　鱔魚,　羹,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14427,"鱔魚,　意麵,　鱔魚,　醬汁,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14412,"鱔魚,　意麵,　鱔魚,　意麵羹,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14409,"鱔魚,　意麵,　鱔魚,　意麵,　羹,　份量,　用料,　差別,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
24841,"鱔魚,　意麵,　鱔魚,　意麵,　羹,　友人,　鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14416,"鱔魚,　意麵,　鱔魚,　意麵,　勾芡,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
1365,"鱔魚,　意麵,　鱔魚,　味道,　油,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
32085,"鱔魚,　意麵,　鱔魚,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
14406,"鱔魚,　意麵,　鑊氣,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
13773,"鱔魚,　意麵,　麵,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
33113,"鱔魚,　意麵,　鐘愛,　口味,　鱔魚,　意麵,　花枝,　意麵,　豬肝湯,　最愛,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
192,"鱔魚,　意麵,　羹,　意麵,　鱔魚,　湯,　醋味,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
14414,"鱔魚,　意麵,　羹,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20681,"鱔魚,　意麵,　醬汁,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
12710,"鱔魚,　意麵,　鍋燒,　意麵,　麵體,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14415,"鱔魚,　意麵,　鍋氣,　重點,　鱔魚,　米粉,　錢,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
182,"鱔魚,　意麵,　環境,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14519,"鱔魚,　意麵,　豬肝湯,　麻油,　炒,　腰花,　水準,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
186,"鱔魚,　意麵,　豬肝湯,　份量,　人,　意麵,　豬肝湯,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20676,"鱔魚,　意麵,　豬心,　豬肝,　味道,　整體,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
585,"鱔魚,　意麵,　蝦捲,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20605,"鱔魚,　意麵,　蝦卷,　蚵卷,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14418,"鱔魚,　意麵,　綜合,　羹,　意麵,　醋味,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
30892,"鱔魚,　意麵,　腦,　胡瓜,　聲音,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
28670,"鱔魚,　意麵,　滋味,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
171,"鱔魚,　意麵,　棺材板,　問題,　餐點,　時候,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
12702,"鱔魚,　意麵,　棺材板,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
20685,"鱔魚,　意麵,　麻油,　鱔魚,　酸甜度,　麵,　湯汁,　鱔魚,　意麵,　鱔魚,　鏟,　味,　感覺,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
24780,"鱔魚,　意麵,　麻油,　豬心湯,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
193,"鱔魚,　意麵,　麻油,　豬心,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14417,"鱔魚,　意麵,　麻油,　腰花,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
168,"鱔魚,　意麵,　麻油,　腰子湯,　料,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
175,"鱔魚,　意麵,　麻油,　腰子,　心,　最愛,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14518,"鱔魚,　意麵,　乾炒類,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
7777,"鱔魚,　意麵,　時候,　鱔魚,　意麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
21922,"鱔魚,　意麵,　料,　味,　鱔魚,　脆度,",進福炒鱔魚專家,ChIJRaExHIZ2bjQRiuS7JaUHRSM,,
20683,"鱔魚,　意麵,　風味,　意麵,　分量,　鱔魚,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
14428,"鱔魚,　意麵,　美味,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20682,"鱔魚,　意麵,　炸物,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
169,"鱔魚,　意麵,　花枝,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
178,"鱔魚,　意麵,　花枝,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
14419,"鱔魚,　意麵,　油,　價格,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
176,"鱔魚,　意麵,　東西,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
33180,"鱔魚,　意麵,　店家,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
177,"鱔魚,　意麵,　味道,　星,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
39253,"鱔魚,　意麵,　味道,　人,　人,　份量,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
180,"鱔魚,　意麵,　味道,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
179,"鱔魚,　意麵,　味道,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
1955,"鱔魚,　意麵,　豆腐,　羹,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
13299,"鱔魚,　意麵,　男生,　麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
19461,"鱔魚,　意麵,　冷氣,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
40727,"鱔魚,　意麵,　好處,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
183,"鱔魚,　意麵,　外地人,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
191,"鱔魚,　意麵,　水準,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
5204,"鱔魚,　意麵,　心神,　台南味,　肉燥飯,　魚丸湯,",永記虱目魚丸,ChIJaWl8c4h2bjQRtS2L4ueUMz8,,
7778,"鱔魚,　意麵,　小吃,　牆,　燈箱,　招牌,　圖片,　參考,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
40699,"鱔魚,　意麵,　大火,　意麵,　鱔魚,　洋蔥,　麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14421,"鱔魚,　意麵,　口味,　鱔魚,　口感,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
190,"鱔魚,　意麵,　口味,　湯麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
189,"鱔魚,　意麵,　口味,　店面,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14408,"鱔魚,　意麵,　口,　片,　鱔魚,　豬心,　冬粉,　豬心,　冬粉,　幻覺,　蕃薯葉,　粉嫩,　粉,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
170,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
172,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
174,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
181,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
185,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
188,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
194,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
205,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
812,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
2070,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
6476,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
10679,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14405,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14407,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14410,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14411,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14425,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14426,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
19076,"鱔魚,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
