,0
1107,價位
1108,"品質,"
1109,麵包
1110,種類
1111,價格
1112,菠蘿
1113,麵包
1114,"椪餅,"
1115,麵包
1116,"種類,"
1117,麵包
1118,"種類,"
1119,麵包
1120,種類
1121,"消費者,"
1122,麵包
1123,"西點,"
1124,"麵包,"
1125,麵包
1126,"肉包,"
1127,麵包
1128,"肉包,"
1129,麵包
1130,"喜餅,"
1131,麵包
1132,蛋糕
1133,咖啡
1134,"座位,"
1135,麵包
1136,"產品,"
1137,麵包
1138,早餐
1139,地方
1140,藍莓
1141,鬆餅
1142,炸彈
1143,"麵包,"
1144,"麵包,"
1145,"麵包,"
1146,麵包
1147,濃湯料
1148,"棺材板,"
1149,"麵包,"
1150,麵包
1151,"口感,"
1152,"麵包,"
1153,麵包
1154,"水準,"
1155,"麵包,"
1156,"麵包,"
1157,nan
1158,麵包
1159,酵母
1160,"味道,"
1161,麵包
1162,咖喱
1163,口味
1164,原味
1165,家人
1166,特餐
1167,海鮮
1168,天婦羅
1169,"用料,"
1170,麵包
1171,"牛排,"
1172,麵包
1173,平價 
1174,咖啡
1175,茶類
1176,"飲品,"
1177,"麵包,"
1178,"麵包,"
1179,"麵包,"
1180,麵包
1181,濃湯
1182,味道
1183,主餐
1184,甜點
1185,"氣氛,"
1186,"麵包,"
1187,麵包
1188,店員
1189,"人,"
1190,"麵包,"
1191,"麵包,"
1192,麵包
1193,"麵包,"
1194,"麵包,"
1195,"麵包,"
1196,"麵包,"
1197,"麵包,"
1198,麵包
1199,點心
1200,點心
1201,選項
1202,"頭家嬤,"
1203,"麵包,"
1204,"麵包,"
1205,麵包
1206,"口味,"
1207,麵包
1208,Q彈
1209,"口感,"
1210,麵包
1211,甜點
1212,美味
1213,造型
1214,盆栽
1215,"布丁,"
1216,麵包
1217,糕點
1218,"環境,"
1219,麵包
1220,蛋糕
1221,總類
1222,財神爺
1223,"蛋糕,"
1224,麵包
1225,"蛋糕,"
1226,麵包
1227,蛋糕
1228,伴手禮
1229,"高品質,"
1230,麵包 
1231,"拌手禮,"
1232,麵包
1233,"服務員,"
1234,麵
1235,"麵,"
1236,"麵,"
1237,麵
1238,蝦捲
1239,OK
1240,"紅茶,"
1241,麵
1242,口感
1243,食物
1244,"遊客,"
1245,麵
1246,碗
1247,"價格,"
1248,麵Q
1249,湯
1250,"味道,"
1251,麵
1252,Q
1253,湯
1254,滷味
1255,"排骨,"
1256,麵
1257,米粉
1258,湯頭
1259,"魚肉,"
1260,"心,"
1261,泡麵
1262,黑輪
1263,蛋
1264,蛋汁
1265,肉絲
1266,"口感,"
1267,nan
1268,鹹餐
1269,"空間,"
1270,燒餅
1271,杏仁茶
1272,"絕配,"
1273,燒餅
1274,店家
1275,餅
1276,蔥香
1277,餅皮
1278,"餡料,"
1279,鹹菜
1280,鴨湯
1281,"鴨肉,"
1282,"鹹菜鴨,"
1283,鹹菜
1284,"鴨肉湯,"
1285,鹹菜鴨
1286,冬粉
1287,值
1288,"美食,"
1289,"鹹粥,"
1290,鹹
1291,"粥,"
1292,鹹粥
1293,湯頭
1294,網路
1295,吃法
1296,"油條,"
1297,鹹
1298,粥
1299,料
1300,魚肚
1301,湯頭
1302,標準
1303,"早餐,"
1304,粥
1305,料
1306,"味,"
1307,鹹
1308,粥
1309,"魚皮,"
1310,鹹粥
1311,味道
1312,"蚵仔,"
1313,鹹
1314,粥
1315,虱目魚肉
1316,魚肚粥
1317,片
1318,"魚肚,"
1319,鹹
1320,粥
1321,虱目魚肉
1322,油條
1323,飽足感
1324,虱目魚
1325,肚
1326,"份量,"
1327,鹹粥
1328,"環境,"
1329,鹹粥
1330,虱目魚湯
1331,"香腸,"
1332,"鹹粥,"
1333,鹹
1334,粥
1335,"油條,"
1336,鹹
1337,粥
1338,蒜酥
1339,虱目魚肉
1340,蚵仔
1341,泡飯
1342,"味道,"
1343,鹹
1344,粥
1345,切片
1346,虱目魚肉
1347,薄片
1348,柴
1349,汁
1350,"蚵仔,"
1351,鹹
1352,粥
1353,"口味,"
1354,鹹粥
1355,"油條,"
1356,鹹粥
1357,料
1358,米粒
1359,泡飯
1360,形式
1361,魚肉燥
1362,"飯,"
1363,鹹蛋
1364,"湯品,"
1365,"香味,"
1366,"鹹,"
1367,香味
1368,想像
1369,清爽感
1370,黃瓜
1371,靈魂人物
1372,"功夫,"
1373,蚵仔煎
1374,層次
1375,沾醬
1376,蚵仔煎
1377,"滋味,"
1378,nan
1379,鹹食
1380,甜點
1381,"沙拉,"
1382,"口感,"
1383,鹹派
1384,"咖啡,"
1385,"派,"
1386,鹹度
1387,"肉羹,"
1388,鹹度
1389,人
1390,"拉麵,"
1391,紅龜
1392,"人,"
1393,牛肉麵
1394,台南人
1395,"珍品,"
1396,鹹味
1397,三星蔥
1398,"口味,"
1399,nan
1400,nan
1401,nan
1402,味道
1403,記憶
1404,"味道,"
1405,"口味,"
1406,蝦仁
1407,"肉圓,"
1408,nan
1409,大姐
1410,古早味
1411,食物
1412,"美食,"
1413,"料,"
1414,麵
1415,"碗,"
1416,nan
1417,地方
1418,"肉粽,"
1419,nan
1420,nan
1421,nan
1422," 菜,"
1423,nan
1424,餐點
1425,口味
1426,拉麵
1427,"整體,"
1428,nan
1429,餐點
1430,"地點,"
1431,餐點
1432,份量
1433,環境
1434,"甜點,"
1435,整體
1436,"口味,"
1437,蝦棗
1438,肉
1439,米
1440,蝦
1441,"香腸,"
1442,蝦捲
1443,"味道,"
1444,蝦捲
1445,"口味,"
1446,"餐桌,"
1447,記憶
1448,"紅茶,"
1449,碗粿
1450,蝦仁飯
1451,"特色,"
1452,"春捲,"
1453,nan
1454,星
1455,"口味,"
1456,鱔魚
1457,意麵
1458,"蝦捲,"
1459,nan
1460,湯
1461,肉
1462,店
1463,狗
1464,老闆娘
1465,"人,"
1466,"普通包,"
1467,"春捲,"
1468,冬瓜茶
1469,"手搖杯,"
1470,魚冊
1471,手工
1472,魚餃
1473,老闆娘
1474,"隊,"
1475,nan
1476,乾意麵
1477,湯意麵
1478,"餛飩,"
1479,料
1480,天
1481,"圓仔湯,"
1482,"米糕,"
1483,"鴨肉羹,"
1484,口味
1485,老闆娘
1486,動作
1487,時刻
1488,米粉
1489,麵
1490,"滋味,"
1491,"米糕,"
1492,nan
1493,nan
1494,nan
1495,nan
1496,nan
1497,味道
1498,"路線,"
1499,豆漿
1500,豆花
1501,豆花
1502,"口感,"
1503,"杏仁粿,"
1504,口味
1505,台灣人
1506,"胃口,"
1507,米糕
1508,"滷蛋,"
1509,油味
1510,肉
1511,花枝
1512,玉米
1513,濃湯
1514,"口味,"
1515,"味道,"
1516,牛肉
1517,"老闆,"
1518,"肉臊,"
1519,nan
1520,nan
1521,nan
1522,"米糕,"
1523,四神湯
1524,米糕
1525,"米糕,"
1526,牛肉湯
1527,肉質
1528,"話,"
1529,"湯,"
1530,nan
1531,nan
1532,nan
1533,"小捲,"
1534,行銷
1535,類型
1536,餅
1537,甜度
1538,"人,"
1539,杏仁茶
1540,"杏仁露,"
1541,綠豆沙
1542,牛奶
1543,"顆粒,"
1544,nan
1545,所長
1546,"特色,"
1547,nan
1548,"甜度,"
1549,nan
1550,nan
1551,nan
1552,人
1553,人
1554,"酒,"
1555,"醬,"
1556,"牛肉湯,"
1557,"口味,"
1558,"口味,"
1559,"口味,"
1560,口味
1561,花生粉
1562,"菜粽,"
1563,"口味,"
1564,嘴
1565,台北人
1566,西餐
1567,好感
1568,麵包
1569,尾聲
1570,"蛋糕,"
1571,蘋婆
1572,"咖啡,"
1573,"蘋果醋,"
